date,value
2017-10-15,41
2017-10-22,47
2017-10-29,53
2017-11-05,47
2017-11-12,47
2017-11-19,47
2017-11-26,46
2017-12-03,44
2017-12-10,49
2017-12-17,62
2017-12-24,69
2017-12-31,52
2018-01-07,41
2018-01-14,43
2018-01-21,44
2018-01-28,50
2018-02-04,47
2018-02-11,49
2018-02-18,47
2018-02-25,48
2018-03-04,44
2018-03-11,42
2018-03-18,44
2018-03-25,45
2018-04-01,39
2018-04-08,36
2018-04-15,35
2018-04-22,36
2018-04-29,39
2018-05-06,38
2018-05-13,38
2018-05-20,41
2018-05-27,41
2018-06-03,38
2018-06-10,39
2018-06-17,32
2018-06-24,31
2018-07-01,29
2018-07-08,32
2018-07-15,36
2018-07-22,34
2018-07-29,36
2018-08-05,36
2018-08-12,40
2018-08-19,38
2018-08-26,39
2018-09-02,37
2018-09-09,38
2018-09-16,37
2018-09-23,38
2018-09-30,41
2018-10-07,43
2018-10-14,44
2018-10-21,51
2018-10-28,55
2018-11-04,47
2018-11-11,47
2018-11-18,46
2018-11-25,47
2018-12-02,46
2018-12-09,50
2018-12-16,60
2018-12-23,64
2018-12-30,56
2019-01-06,44
2019-01-13,46
2019-01-20,46
2019-01-27,47
2019-02-03,48
2019-02-10,45
2019-02-17,42
2019-02-24,43
2019-03-03,44
2019-03-10,40
2019-03-17,39
2019-03-24,39
2019-03-31,38
2019-04-07,39
2019-04-14,42
2019-04-21,39
2019-04-28,40
2019-05-05,45
2019-05-12,40
2019-05-19,40
2019-05-26,38
2019-06-02,34
2019-06-09,37
2019-06-16,34
2019-06-23,32
2019-06-30,28
2019-07-07,31
2019-07-14,32
2019-07-21,32
2019-07-28,35
2019-08-04,36
2019-08-11,41
2019-08-18,39
2019-08-25,38
2019-09-01,37
2019-09-08,36
2019-09-15,37
2019-09-22,42
2019-09-29,42
2019-10-06,43
2019-10-13,43
2019-10-20,48
2019-10-27,54
2019-11-03,46
2019-11-10,51
2019-11-17,48
2019-11-24,45
2019-12-01,45
2019-12-08,49
2019-12-15,54
2019-12-22,72
2019-12-29,62
2020-01-05,45
2020-01-12,45
2020-01-19,46
2020-01-26,49
2020-02-02,49
2020-02-09,47
2020-02-16,49
2020-02-23,48
2020-03-01,44
2020-03-08,41
2020-03-15,61
2020-03-22,91
2020-03-29,100
2020-04-05,97
2020-04-12,99
2020-04-19,96
2020-04-26,96
2020-05-03,82
2020-05-10,67
2020-05-17,65
2020-05-24,51
2020-05-31,48
2020-06-07,50
2020-06-14,49
2020-06-21,42
2020-06-28,39
2020-07-05,38
2020-07-12,39
2020-07-19,37
2020-07-26,40
2020-08-02,37
2020-08-09,39
2020-08-16,39
2020-08-23,43
2020-08-30,41
2020-09-06,38
2020-09-13,39
2020-09-20,44
2020-09-27,47
2020-10-04,47
2020-10-11,49
2020-10-18,53
2020-10-25,56
2020-11-01,58
2020-11-08,67
2020-11-15,62
2020-11-22,59
2020-11-29,53
2020-12-06,53
2020-12-13,60
2020-12-20,80
2020-12-27,69
2021-01-03,52
2021-01-10,55
2021-01-17,55
2021-01-24,54
2021-01-31,60
2021-02-07,58
2021-02-14,57
2021-02-21,53
2021-02-28,54
2021-03-07,48
2021-03-14,48
2021-03-21,48
2021-03-28,47
2021-04-04,47
2021-04-11,59
2021-04-18,53
2021-04-25,50
2021-05-02,46
2021-05-09,49
2021-05-16,40
2021-05-23,40
2021-05-30,33
2021-06-06,31
2021-06-13,30
2021-06-20,33
2021-06-27,31
2021-07-04,34
2021-07-11,35
2021-07-18,32
2021-07-25,34
2021-08-01,37
2021-08-08,36
2021-08-15,36
2021-08-22,39
2021-08-29,37
2021-09-05,35
2021-09-12,35
2021-09-19,37
2021-09-26,41
2021-10-03,41
2021-10-10,41
2021-10-17,44
2021-10-24,47
2021-10-31,49
2021-11-07,48
2021-11-14,46
2021-11-21,45
2021-11-28,44
2021-12-05,46
2021-12-12,49
2021-12-19,69
2021-12-26,57
2022-01-02,52
2022-01-09,48
2022-01-16,43
2022-01-23,48
2022-01-30,54
2022-02-06,46
2022-02-13,49
2022-02-20,45
2022-02-27,45
2022-03-06,42
2022-03-13,43
2022-03-20,42
2022-03-27,41
2022-04-03,46
2022-04-10,43
2022-04-17,43
2022-04-24,39
2022-05-01,37
2022-05-08,33
2022-05-15,31
2022-05-22,39
2022-05-29,36
2022-06-05,38
2022-06-12,38
2022-06-19,36
2022-06-26,38
2022-07-03,37
2022-07-10,38
2022-07-17,38
2022-07-24,40
2022-07-31,38
2022-08-07,40
2022-08-14,47
2022-08-21,42
2022-08-28,37
2022-09-04,39
2022-09-11,40
2022-09-18,44
2022-09-25,48
2022-10-02,44
