Year,Name,Number
2021,Gabriel,4974
2021,Léo,4358
2021,Raphaël,3957
2021,Louis,3715
2021,Arthur,3598
2021,Jules,3594
2021,Maël,3438
2021,Noah,3384
2021,Adam,3148
2021,Lucas,3054
2021,Hugo,2905
2021,Gabin,2719
2021,Liam,2672
2021,Sacha,2628
2021,Aaron,2496
2021,Léon,2362
2021,Isaac,2322
2021,Paul,2291
2021,Nathan,2286
2021,Noé,2276
2021,Eden,2260
2021,Mohamed,2183
2021,Ethan,2104
2021,Tom,1995
2021,Malo,1935
2021,Naël,1919
2021,Théo,1902
2021,Marius,1868
2021,Nino,1838
2021,Marceau,1834
2021,Mathis,1801
2021,Victor,1768
2021,Ayden,1753
2021,Milo,1723
2021,Martin,1712
2021,Tiago,1658
2021,Robin,1657
2021,Axel,1571
2021,Timéo,1541
2021,Eliott,1538
2021,Lyam,1538
2021,Enzo,1503
2021,Antoine,1445
2021,Nolan,1439
2021,Augustin,1430
2021,Gaspard,1379
2021,Valentin,1362
2021,Amir,1309
2021,Samuel,1301
2021,Côme,1300
2021,Rayan,1247
2021,Ibrahim,1244
2021,Imran,1215
2021,Elio,1195
2021,Sohan,1187
2021,Yanis,1172
2021,Simon,1160
2021,Kaïs,1144
2021,Mathéo,1139
2021,Maxence,1130
2021,Léandre,1117
2021,Camille,1096
2021,Clément,1087
2021,Alessio,1063
2021,Evan,1056
2021,Soan,1042
2021,Pablo,1020
2021,Ismaël,1006
2021,Alexandre,995
2021,Owen,995
2021,Baptiste,967
2021,Maxime,960
2021,Oscar,946
2021,Maé,932
2021,Mahé,928
2021,Naïm,918
2021,Noa,917
2021,Charly,909
2021,Basile,907
2021,Joseph,905
2021,Livio,893
2021,Lenny,863
2021,Ilyan,840
2021,Diego,826
2021,Thomas,820
2021,Kayden,798
2021,Ali,786
2021,Noam,776
2021,Marin,771
2021,Charlie,770
2021,Auguste,757
2021,Charles,757
2021,Andrea,756
2021,Aylan,756
2021,Ilyes,747
2021,Timothée,729
2021,Roméo,726
2021,Anas,724
2021,Maylone,715
2021,Milan,715
2020,Léo,4499
2020,Gabriel,4420
2020,Raphaël,3980
2020,Arthur,3804
2020,Louis,3794
2020,Jules,3547
2020,Adam,3393
2020,Maël,3302
2020,Lucas,3250
2020,Hugo,3129
2020,Noah,2811
2020,Liam,2747
2020,Gabin,2726
2020,Sacha,2553
2020,Paul,2475
2020,Nathan,2405
2020,Aaron,2313
2020,Mohamed,2311
2020,Ethan,2283
2020,Eden,2226
2020,Tom,2221
2020,Léon,2168
2020,Noé,2130
2020,Tiago,1972
2020,Théo,1939
2020,Isaac,1935
2020,Marius,1844
2020,Victor,1811
2020,Naël,1793
2020,Ayden,1790
2020,Martin,1774
2020,Mathis,1734
2020,Axel,1689
2020,Robin,1630
2020,Timéo,1627
2020,Enzo,1590
2020,Marceau,1577
2020,Eliott,1527
2020,Nino,1527
2020,Valentin,1527
2020,Nolan,1507
2020,Malo,1501
2020,Milo,1476
2020,Antoine,1458
2020,Samuel,1418
2020,Augustin,1379
2020,Amir,1365
2020,Lyam,1363
2020,Rayan,1351
2020,Yanis,1340
2020,Ibrahim,1332
2020,Gaspard,1297
2020,Sohan,1234
2020,Clément,1217
2020,Mathéo,1208
2020,Simon,1205
2020,Baptiste,1204
2020,Imran,1196
2020,Maxence,1194
2020,Kaïs,1163
2020,Côme,1137
2020,Soan,1111
2020,Evan,1092
2020,Maxime,1053
2020,Camille,1046
2020,Alexandre,1041
2020,Owen,1040
2020,Ismaël,1010
2020,Lenny,984
2020,Pablo,970
2020,Naïm,952
2020,Léandre,946
2020,Ilyan,915
2020,Thomas,900
2020,Joseph,846
2020,Oscar,844
2020,Elio,842
2020,Noa,839
2020,Malone,838
2020,Diego,818
2020,Noam,816
2020,Livio,800
2020,Charlie,795
2020,Charly,789
2020,Basile,786
2020,Ilyes,786
2020,Milan,783
2020,Ali,762
2020,Anas,758
2020,Logan,747
2020,Mathys,723
2020,William,711
2020,Alessio,706
2020,Timothée,699
2020,Ayoub,698
2020,Youssef,697
2020,Auguste,695
2020,Adem,693
2020,Wassim,691
2020,Charles,687
2019,Gabriel,4988
2019,Léo,4656
2019,Raphaël,4470
2019,Arthur,4010
2019,Louis,3951
2019,Lucas,3738
2019,Adam,3676
2019,Jules,3539
2019,Hugo,3494
2019,Maël,3390
2019,Liam,3070
2019,Noah,2908
2019,Paul,2837
2019,Ethan,2728
2019,Tiago,2704
2019,Sacha,2643
2019,Gabin,2626
2019,Nathan,2598
2019,Mohamed,2580
2019,Aaron,2447
2019,Tom,2305
2019,Eden,2215
2019,Théo,2172
2019,Noé,2154
2019,Léon,2119
2019,Martin,1940
2019,Nolan,1928
2019,Mathis,1925
2019,Victor,1873
2019,Timéo,1848
2019,Marius,1834
2019,Enzo,1833
2019,Axel,1811
2019,Antoine,1787
2019,Robin,1677
2019,Isaac,1665
2019,Naël,1620
2019,Amir,1602
2019,Valentin,1585
2019,Rayan,1584
2019,Augustin,1548
2019,Ayden,1532
2019,Clément,1526
2019,Eliott,1503
2019,Samuel,1501
2019,Marceau,1419
2019,Baptiste,1403
2019,Gaspard,1345
2019,Yanis,1308
2019,Maxence,1288
2019,Ibrahim,1283
2019,Malo,1281
2019,Sohan,1245
2019,Maxime,1240
2019,Evan,1237
2019,Nino,1230
2019,Mathéo,1224
2019,Simon,1209
2019,Lyam,1196
2019,Alexandre,1153
2019,Kaïs,1120
2019,Imran,1116
2019,Naïm,1113
2019,Ismaël,1084
2019,Camille,1070
2019,Thomas,1060
2019,Milo,1051
2019,Owen,1048
2019,Côme,1047
2019,Lenny,1012
2019,Soan,978
2019,Ilyan,967
2019,Kylian,948
2019,Noa,915
2019,Ilyes,885
2019,Oscar,880
2019,Léandre,873
2019,Pablo,865
2019,Diego,862
2019,Mathys,843
2019,Joseph,831
2019,Ayoub,808
2019,Youssef,805
2019,Wassim,785
2019,Noam,773
2019,Adem,760
2019,William,760
2019,Ali,755
2019,Basile,748
2019,Charles,742
2019,Antonin,741
2019,Thiago,741
2019,Logan,732
2019,Jean,721
2019,Adrien,720
2019,Marin,718
2019,Charly,713
2019,Esteban,708
2019,Noham,705
2019,Elio,694
2018,Gabriel,5425
2018,Raphaël,4607
2018,Léo,4453
2018,Louis,4416
2018,Lucas,3980
2018,Adam,3899
2018,Arthur,3753
2018,Jules,3701
2018,Hugo,3690
2018,Maël,3266
2018,Liam,3156
2018,Ethan,3155
2018,Paul,2995
2018,Nathan,2918
2018,Gabin,2798
2018,Sacha,2762
2018,Noah,2624
2018,Tom,2581
2018,Mohamed,2482
2018,Aaron,2251
2018,Théo,2208
2018,Noé,2137
2018,Victor,2117
2018,Martin,2116
2018,Mathis,2101
2018,Timéo,2098
2018,Nolan,2086
2018,Enzo,2072
2018,Eden,2039
2018,Axel,1992
2018,Antoine,1895
2018,Léon,1873
2018,Marius,1852
2018,Robin,1819
2018,Valentin,1704
2018,Clément,1603
2018,Rayan,1593
2018,Baptiste,1587
2018,Samuel,1582
2018,Tiago,1580
2018,Amir,1559
2018,Augustin,1537
2018,Naël,1535
2018,Maxime,1481
2018,Maxence,1437
2018,Gaspard,1424
2018,Eliott,1404
2018,Alexandre,1377
2018,Isaac,1376
2018,Yanis,1354
2018,Mathéo,1345
2018,Evan,1317
2018,Simon,1290
2018,Malo,1238
2018,Nino,1238
2018,Kylian,1232
2018,Marceau,1219
2018,Ibrahim,1208
2018,Thomas,1207
2018,Imran,1182
2018,Ayden,1174
2018,Lenny,1153
2018,Lyam,1140
2018,Camille,1137
2018,Kaïs,1125
2018,Oscar,1049
2018,Naïm,1031
2018,Sohan,1020
2018,Côme,1007
2018,Milo,997
2018,Noa,970
2018,Ismaël,938
2018,Noam,925
2018,Ilyes,923
2018,Diego,915
2018,Léandre,899
